Distance/m,Elevation of N2/m,Elevation of N3/m,Elevation of N4/m,Elevation of N5/m,Elevation of N6/m,Elevation of N7/m,Elevation of N8/m
372,-1.35246472,-2.112164213,-1.541875686,-1.595145936,-2.062068012,-1.915568292,-2.04327894
373,-1.372696628,-2.126812633,-1.554109861,-1.607553771,-2.070785886,-1.925065122,-2.054279111
374,-1.392991603,-2.141461054,-1.566344036,-1.619961607,-2.07950376,-1.933358576,-2.065279281
375,-1.413286578,-2.156109475,-1.578578211,-1.632369443,-2.088221634,-1.939646981,-2.07721761
376,-1.433581554,-2.170757896,-1.590812386,-1.644777279,-2.096939508,-1.945935387,-2.089221715
377,-1.453876529,-2.185406317,-1.603046561,-1.657185114,-2.105657382,-1.952223792,-2.10122582
378,-1.474171504,-2.200054738,-1.615280736,-1.657503602,-2.114375256,-1.958512197,-2.113229924
379,-1.494466479,-2.214703158,-1.62751491,-1.637252114,-2.129590199,-1.964800602,-2.125234029
380,-1.514761455,-2.229351579,-1.639749085,-1.617000626,-2.146293352,-1.974138906,-2.137238134
381,-1.538044404,,-1.65198326,-1.596749138,-2.162996505,-1.989608226,-2.151694386
382,-1.56382405,,-1.664217435,-1.57649765,-2.179699659,-2.005077545,-2.176826364
383,-1.589603695,,-1.67645161,-1.556246162,-2.196402812,-2.020546865,-2.201958341
384,-1.615383341,,-1.688685785,-1.535994674,-2.213105965,-2.036016185,-2.227090319
385,-1.641162987,,-1.70091996,-1.515743186,-2.229809119,-2.051485504,
386,-1.666942632,,-1.713154134,-1.497921367,-2.246512272,-2.066954824,
387,-1.692722278,,-1.725388309,-1.480650465,-2.263215425,-2.083244365,
388,-1.718501923,,-1.737622484,-1.463379564,-2.279918578,-2.102419215,
389,-1.744281569,,-1.749856659,-1.446108662,-2.296621732,-2.121594064,
390,-1.770061214,,-1.762090834,-1.429658501,-2.313324885,-2.140768914,
391,-1.79584086,,-1.774325009,-1.424583817,-2.330028038,-2.159943764,
392,-1.821090555,,-1.786559184,-1.419509134,-2.346731192,-2.179118613,
393,-1.846094858,,-1.798793358,-1.414434451,-2.363434345,-2.198293463,
394,-1.871099161,,-1.811027533,-1.409359767,-2.380137498,,
395,-1.896103464,,-1.823261708,-1.404285084,-2.396840652,,
396,-1.921107767,,-1.835495883,-1.401354024,,,
397,-1.94611207,,-1.847730058,-1.41005621,,,
398,-1.971101364,,-1.859964233,-1.418758395,,,
399,-1.992880643,,-1.872198408,-1.427460581,,,
400,-2.014659922,,-1.884432582,-1.436162767,,,
401,-2.036439202,,-1.863621709,-1.435911932,,,
402,-2.058218481,,-1.852678684,-1.445937225,,,
403,-2.07999776,,-1.85213052,-1.455962519,,,
404,-2.10551947,,-1.851582355,-1.465987812,,,
405,-2.137779272,,-1.851034191,-1.476013106,,,
