Image no,Image name,Previous high tidal height/m,Instantaneous tidal height/m
342,LE07_120035_20061222.tif,1.31633,-1.601147293
343,LE07_120035_20070107.tif,1.4113,-0.614426739
344,LT05_120035_20070131.tif,1.12787,-1.950035162
345,LT05_120035_20070320.tif,1.865356667,-1.884784752
346,LE07_120035_20070413.tif,0.789613333,-0.405256167
347,LT05_120035_20070421.tif,1.59411,0.598051231
348,LT05_120035_20070507.tif,1.196793333,0.538498221
349,LE07_120035_20070616.tif,1.9371,-0.39966267
350,LE07_120035_20070904.tif,1.300596667,1.137066241
351,LE07_120035_20071022.tif,1.130246667,-0.130227957
352,LE07_120035_20071107.tif,1.181476667,-1.118766849
353,LE07_120035_20071123.tif,1.525826667,-1.679378845
354,LE07_120035_20071209.tif,1.18828,-1.863887258
355,LE07_120035_20071225.tif,1.65575,-2.070451961
356,LE07_120035_20080126.tif,1.53641,-0.453593029
357,LT05_120035_20080203.tif,0.60397,-0.950551244
358,LT05_120035_20080219.tif,1.252853333,-2.052019883
359,LE07_120035_20080227.tif,1.00715,0.567287917
360,LT05_120035_20080306.tif,1.10611,-1.855106385
361,LE07_120035_20080314.tif,1.002746667,0.846830768
362,LT05_120035_20080407.tif,1.806533333,-1.506647383
363,LT05_120035_20080423.tif,1.455886667,-0.186137264
364,LE07_120035_20080501.tif,0.953063333,-0.26841375
365,LT05_120035_20080525.tif,1.147916667,0.764437198
366,LE07_120035_20080602.tif,1.524683333,-0.827672711
367,LT05_120035_20080626.tif,1.4116,1.381749048
368,LT05_120035_20080712.tif,1.13091,0.676009351
369,LT05_120035_20080813.tif,1.13942,0.057201546
370,LT05_120035_20080829.tif,1.864163333,-0.746420532
371,LE07_120035_20080906.tif,1.26023,0.926727889
372,LE07_120035_20081024.tif,1.30115,0.071921746
373,LE07_120035_20081109.tif,1.09821,-0.3340097
374,LE07_120035_20081125.tif,1.140123333,-1.404587488
375,LE07_120035_20081211.tif,1.285186667,-1.730426742
376,LE07_120035_20081227.tif,1.20171,-1.89122498
377,LE07_120035_20090112.tif,1.73146,-2.169846696
378,LE07_120035_20090128.tif,1.22535,-1.225031507
