Image no,Image name,SentinelC1,SentinelC2,SentinelC3,SentinelC4,SentinelC5,SentinelC6,SentinelC7,SentinelC8,SentinelC9
783,20210111T025101_20210111T025100_T51STV.tif,106.8745,160.4171,160.0948,134.7324,133.3502,119.572,31.01119,277.9794,309.7697
785,20210126T024959_20210126T025002_T51STV.tif,104.5605,160.4171,156.4973,134.7324,130.5239,117.2993,28.63117,274.0011,302.5076
787,20210131T024941_20210131T024937_T51STV.tif,108.3206,163.3353,159.8486,134.377,135.7224,117.8295,32.68427,277.0222,308.1389
789,20210210T024841_20210210T024839_T51STV.tif,106.5128,160.8376,155.8268,136.8411,133.3836,116.5166,28.63117,273.1213,306.2618
790,20210215T024809_20210215T024807_T51STV.tif,108.2483,161.6713,159.156,136.4092,138.1275,120.7842,31.19193,276.6584,311.5577
791,20210220T024731_20210220T024734_T51STV.tif,103.5482,160.4226,152.7431,133.0059,134.3918,114.6479,29.33751,273.1191,305.077
794,20210302T024631_20210302T024715_T51STV.tif,108.1761,160.8358,156.2512,133.9455,134.2927,117.1732,34.01425,275.7708,307.2895
795,20210307T024549_20210307T025351_T51STV.tif,110.9238,164.1635,160.3624,137.4257,133.7718,119.4204,,278.4244,310.2833
797,20210312T024551_20210312T025729_T51STV.tif,105.2836,162.0862,156.676,132.0663,131.0773,118.1074,34.27699,277.0975,305.9259
798,20210317T024549_20210317T025739_T51STV.tif,108.9714,165.4104,159.424,136.2568,135.301,117.7031,32.86555,277.0975,313.0098
800,20210322T024551_20210322T025728_T51STV.tif,99.78795,154.1806,150.1059,129.0175,129.1599,112.6533,30.56766,273.1273,302.7749
802,20210406T024549_20210406T025346_T51STV.tif,108.1037,165.8292,159.0887,135.2403,134.3588,119.294,36.49287,281.5169,314.9765
804,20210501T024541_20210501T024634_T51STV.tif,100.7281,159.1755,159.7591,132.4214,131.598,115.5823,28.97543,274.0011,304.8987
807,20210521T024551_20210521T025729_T51STV.tif,101.2343,154.1788,152.4971,130.9737,128.6394,111.8448,27.38326,270.0322,303.3566
809,20210605T024549_20210605T025350_T51STV.tif,107.3083,163.3353,158.9992,139.0759,135.7557,118.1074,35.34423,279.3158,
810,20210620T024551_20210620T025729_T51STV.tif,100.2219,159.5906,148.7427,130.9737,130.5566,112.2492,26.59609,272.2372,303.4456
811,20210710T024551_20210710T025732_T50SQE.tif,100.5834,157.0931,151.8939,131.4052,135.2679,115.7084,24.47893,273.8901,304.3847
813,20210804T024549_20210804T025350_T50SQE.tif,106.2959,162.0811,161.1225,,,121.8449,33.93273,277.9794,312.9208
814,20210814T024549_20210814T025740_T50SQE.tif,107.2359,162.9094,158.3961,134.377,136.6649,119.572,32.42202,277.9794,310.6196
816,20210819T024551_20210819T025731_T50SQE.tif,102.5359,,155.4911,131.6346,130.9782,115.9864,28.26971,276.6544,306.9541
818,20210908T024551_20210908T025158_T50SQE.tif,97.47415,155.0127,149.8597,128.307,129.1929,110.9106,21.03173,269.1425,300.2952
819,20210913T024539_20210913T025736_T50SQE.tif,98.84795,155.0107,152.1615,127.7225,127.3084,110.9106,23.14895,269.1425,302.2614
820,20211013T024649_20211013T024644_T50SQE.tif,97.47415,153.7601,149.7702,126.8595,128.2178,111.8448,24.56039,269.1425,302.2614
821,20211023T024749_20211023T025552_T50SQE.tif,99.28172,156.6728,152.5862,129.2469,130.1022,113.5621,25.00392,273.1213,304.4738
822,20211112T024939_20211112T024939_T50SQE.tif,107.8143,169.5733,164.3628,135.825,137.1853,122.0971,33.48926,280.1921,315.6689
825,20211122T025019_20211122T025021_T51STV.tif,111.0685,167.0778,162.1504,135.2403,134.7472,119.976,33.48926,281.9582,316.5182
827,20211127T025031_20211127T025409_T50SQE.tif,100.005,155.4275,151.983,127.2147,125.9115,110.6329,26.67754,269.2038,302.5963
828,20211202T025049_20211202T025052_T50SQE.tif,103.0421,155.8427,153.0107,123.8111,125.9115,109.8501,27.56399,269.2038,303.0212
830,20211207T025111_20211207T025109_T50SQE.tif,104.3437,154.5958,152.6752,128.1544,126.7548,110.9106,23.85467,268.1982,304.0493
831,20211212T025119_20211212T025113_T50SQE.tif,106.2237,156.2632,150.7091,127.5698,126.7548,111.441,24.11686,269.2038,304.0493
833,20211217T025131_20211217T025125_T50SQE.tif,99.71572,150.8531,150.1952,124.166,126.3,109.0739,23.59242,271.8423,302.0826
834,20211227T025131_20211227T025412_T50SQE.tif,100.3665,150.8531,152.5862,123.8111,126.3,108.9161,25.44684,271.8423,302.0826
836,20220106T025111_20220106T025113_T50SQE.tif,98.84795,150.4361,151.3122,126.2748,127.3084,111.0372,22.70542,270.2743,301.6582
837,20220111T025059_20220111T025055_T50SQE.tif,101.162,150.8568,151.3122,125.3354,125.9775,110.759,23.14895,270.2743,301.9935
838,20220116T025051_20220116T025045_T50SQE.tif,101.162,150.0214,151.3122,125.6903,126.9527,109.1681,23.14895,268.6995,301.9935
840,20220121T025019_20220121T025020_T51STV.tif,100.1497,151.685,150.7985,125.8435,124.093,109.8501,25.00392,269.4871,299.7811
842,20220205T024911_20220205T025041_T50SQE.tif,97.76331,152.1019,148.7427,126.7066,126.3331,108.9161,24.21613,268.7034,299.7811
843,20220210T024839_20220210T025625_T50SQE.tif,98.70347,152.9357,148.8318,126.4648,125.7797,110.9106,24.65967,267.9226,300.205
844,20220215T024811_20220215T024810_T50SQE.tif,98.12907,150.8513,147.8037,124.8273,125.424,109.042,22.88732,267.1281,300.205
845,20220220T024729_20220220T025520_T50SQE.tif,98.19731,152.5242,151.6477,125.6903,125.424,109.8501,23.06805,268.6995,299.6915
846,20220225T024711_20220225T025345_T50SQE.tif,97.17202,150.8568,149.681,123.7345,125.8454,109.6248,23.06805,269.4837,299.6915
847,20220302T024629_20220302T025427_T50SQE.tif,98.26949,151.9811,149.8597,126.0457,124.0269,109.3199,23.06805,271.8462,302.0826
849,20220307T024601_20220307T025334_T50SQE.tif,99.28172,150.4738,150.2844,126.1982,126.8207,111.3147,26.59204,269.4906,300.1165
850,20220327T024551_20220327T025229_T50SQE.tif,98.77571,152.9916,147.7148,124.3955,124.5146,108.6631,26.59204,269.4906,300.1165
851,20220406T024551_20220406T025325_T50SQE.tif,100.1497,152.9916,150.9551,125.614,127.3084,108.6631,25.94084,269.4871,298.1224
853,20220411T024539_20220411T025331_T50SQE.tif,99.13726,155.0118,150.3735,125.3354,128.2836,109.8501,26.34933,269.494,300.1165
854,20220416T024551_20220416T025327_T50SQE.tif,101.5236,153.4997,148.8318,124.8273,125.3908,111.9712,26.34933,269.494,300.1165
855,20220421T024539_20220421T025344_T50SQE.tif,101.5236,152.4942,149.7702,126.1221,129.127,108.7897,26.34933,270.5875,300.1165
857,20220506T024551_20220506T025306_T50SQE.tif,96.89559,152.9916,149.0845,127.5505,126.5282,112.66,23.51042,273.888,297.9413
859,20220516T024551_20220516T025329_T50SQE.tif,96.89559,154.5079,149.2754,127.5505,126.4928,112.0921,23.6917,273.0581,299.0246
860,20220521T024549_20220521T025335_T50SQE.tif,,156.0218,,128.5116,128.7345,112.9111,,,
