Image no,Image name,LandsatC1,LandsatC2,LandsatC3,LandsatC4,LandsatC5,LandsatC6,LandsatC7,LandsatC8,LandsatC9
735,LC08_120035_20200220.tif,103.1098,161.6678,153.6395,127.9916,129.4553,116.6427,23.25907,269.5836,301.0516
737,LC08_120035_20200307.tif,100.1269,,,,,,,266.9278,291.1215
739,LE07_120035_20200315.tif,,,,,,,,274.4478,294.0123
742,LC08_120035_20200323.tif,100.8049,159.1719,153.8704,128.5098,129.4553,114.3987,,269.1408,299.8578
745,LC08_120035_20200424.tif,105.5729,158.7588,156.1118,129.0942,130.5239,114.3987,30.48559,268.2606,303.6081
748,LC08_120035_20200510.tif,106.8021,161.1939,157.6146,129.3489,129.4553,114.3987,32.15983,268.7055,293.0488
749,LE07_120035_20200518.tif,,,,,,,,,
750,LE07_120035_20200603.tif,,,,,,,,270.4616,296.4011
751,LC08_120035_20200627.tif,108.4653,162.9617,154.7987,,,113.3809,31.01119,271.7924,295.6048
755,LC08_120035_20200729.tif,,,,,,,,,
759,LE07_120035_20200907.tif,105.7175,,,,,,,281.078,301.3228
762,LC08_120035_20201001.tif,106.7298,161.6368,156.8545,,,110.5163,,269.1425,299.7811
764,LE07_120035_20201009.tif,,,,,,,,269.95,302.8645
765,LC08_120035_20201017.tif,104.9944,159.8669,153.9495,124.2065,129.4553,110.5163,30.30486,272.2372,301.8369
767,LE07_120035_20201025.tif,,,,,,,,,302.7749
770,LE07_120035_20201110.tif,,168.2647,,,,,,276.2155,297.479
772,LC08_120035_20201204.tif,106.4406,158.5366,155.9157,124.2065,,108.6459,,270.4694,303.8347
774,LE07_120035_20201212.tif,,,152.2508,,,,,,304.7421
777,LC08_120035_20201220.tif,103.0421,163.4064,158.6421,125.0156,125.2483,112.9076,26.2748,275.328,299.6953
781,LC08_120035_20210105.tif,103.0421,159.1719,157.7037,125.8251,,112.9076,,271.3475,293.5461
784,LE07_120035_20210113.tif,,,,,,,,265.3771,293.1049
786,LE07_120035_20210129.tif,,,,,,,,279.5195,294.5743
788,LC08_120035_20210206.tif,106.9466,157.6583,155.7374,129.1593,,111.1553,29.15623,273.1213,302.351
792,LC08_120035_20210222.tif,108.1761,157.6583,160.2514,128.8153,,111.1553,28.97145,267.373,302.5963
793,LE07_120035_20210302.tif,,,,,,,,275.7708,302.6863
796,LC08_120035_20210310.tif,103.8374,157.6583,156.7651,,,111.1553,,273.1174,308.228
799,LE07_120035_20210318.tif,,,,,,,,,
801,LC08_120035_20210326.tif,107.2359,154.1169,157.1004,126.921,126.6817,111.0372,,275.3318,297.3899
803,LE07_120035_20210419.tif,,,160.2733,,,,,281.0836,306.1052
805,LE07_120035_20210505.tif,,,154.7987,,,,,272.4495,298.9312
806,LE07_120035_20210521.tif,,,,,,,,,
808,LC08_120035_20210529.tif,107.7422,163.7502,157.793,130.4449,130.5794,113.4045,32.63778,277.1014,305.4124
812,LC08_120035_20210801.tif,108.1037,160.8341,156.8545,126.3731,,112.0314,28.63117,278.1316,302.418
815,LC08_120035_20210817.tif,105.8622,159.8728,160.2733,126.3731,,112.0314,29.59914,273.8858,301.5906
817,LC08_120035_20210902.tif,109.5498,159.8728,156.7651,133.5903,,114.3987,32.63778,277.0936,307.095
823,LC09_119035_20211114.tif,104.7368,151.4729,151.2229,127.3973,122.2031,108.6459,25.89037,272.2389,299.9013
