Image no,Image name,Date,Tidal height,H1-Waterline,H1-Bar,H1-Breaker,H2-Waterline,H2-Bar,H2-Breaker,H3-Waterline,H3-Breaker,H4-Waterline,H4-Breaker
260,LT05_120035_20040208.tif,2004/2/8,-1.516573449,208.5047,,,209.8669,290.8783,,329.3454,,348.8142,
261,LT05_120035_20040224.tif,2004/2/24,-0.556529406,203.8455,,,202.5512,,342.4249,191.0126,340.3934,201.471,335.6598
262,LE07_120035_20040303.tif,2004/3/3,-0.808449242,210.0541,,,,,,,,355.4851,
263,LE07_120035_20040319.tif,2004/3/19,-1.827871251,,,,,,,368.1475,,384.9463,
264,LE07_120035_20040404.tif,2004/4/4,-1.637993706,226.7826,290.4146,,,,,380.6027,,388.7556,
265,LT05_120035_20040428.tif,2004/4/28,0.573094777,198.4702,,,193.7584,,,181.0137,,183.5034,
266,LE07_120035_20040506.tif,2004/5/6,-1.08552033,202.1549,,,,,,265.26,,327.3751,
267,LT05_120035_20040514.tif,2004/5/14,0.089450726,204.3475,,,198.3148,,,202.038,,230.5005,
268,LE07_120035_20040725.tif,2004/7/25,1.365507358,190.8705,,,185.3539,,,172.54,,176.2976,
269,LE07_120035_20040927.tif,2004/9/27,-0.888148035,207.2975,,,,,,,,,
270,LT05_120035_20041005.tif,2004/10/5,0.386748155,198.7558,,,196.6282,,,184.0473,,182.4807,
271,LE07_120035_20041013.tif,2004/10/13,-1.286848781,221.8382,307.9012,,231.1129,294.9098,,340.2001,,358.7033,426.8178
272,LT05_120035_20041106.tif,2004/11/6,0.197419437,201.9654,,,188.1212,,,183.4711,,185.7271,
273,LE07_120035_20041114.tif,2004/11/14,-1.979815402,,,,,,,,,355.6634,
274,LT05_120035_20041122.tif,2004/11/22,-0.087111878,198.9592,,,195.2445,,,187.4707,,196.1792,306.5874
275,LE07_120035_20041130.tif,2004/11/30,-1.206792817,205.6005,,,,,,,,,
276,LT05_120035_20041208.tif,2004/12/8,-0.407489714,208.9256,,,201.3895,,327.2559,195.0048,323.8889,264.1275,342.1931
277,LE07_120035_20041216.tif,2004/12/16,-0.53580883,207.4978,,,205.827,,,194.9709,,196.7422,
278,LT05_120035_20041224.tif,2004/12/24,-1.524524532,221.5883,286.2197,,221.5011,,,358.6087,,366.0405,
279,LE07_120035_20050101.tif,2005/1/1,-0.318321641,208.7362,,,203.649,,,200.8517,,264.5121,
280,LT05_120035_20050109.tif,2005/1/9,-1.848804789,234.8109,312.7855,,,,,380.7683,,386.1755,
281,LE07_120035_20050202.tif,2005/2/2,0.4933097,206.4249,,,204.5556,,,,,,
282,LT05_120035_20050210.tif,2005/2/10,-2.301612924,225.9125,285.1516,,,,,367.7322,,372.3268,
283,LE07_120035_20050218.tif,2005/2/18,-0.193963724,,,,,,,,,,
284,LT05_120035_20050226.tif,2005/2/26,-1.409348827,214.3103,,,212.1765,271.0285,,302.5951,,348.3075,
285,LE07_120035_20050306.tif,2005/3/6,-0.230865871,204.702,,,200.446,,,200.1823,307.4857,,
286,LT05_120035_20050314.tif,2005/3/14,-0.332114357,201.5517,,,189.8874,,,183.1502,,216.6238,
287,LE07_120035_20050322.tif,2005/3/22,-0.927166975,,,,210.7735,,,,,,
288,LT05_120035_20050415.tif,2005/4/15,0.770723862,202.5943,,,190.5554,,,183.9128,,170.2114,
289,LE07_120035_20050423.tif,2005/4/23,-1.406077421,216.3854,292.9817,,211.8667,,,358.3225,,,
290,LE07_120035_20050509.tif,2005/5/9,-0.93822416,206.2294,,,203.394,,,,,,
291,LT05_120035_20050602.tif,2005/6/2,0.468010616,196.2026,,,194.0402,,,180.7181,,176.2976,
292,LT05_120035_20050704.tif,2005/7/4,-0.263747964,200.3374,,,202.6752,,,191.8103,,269.1097,
293,LT05_120035_20050720.tif,2005/7/20,-0.266368571,201.0265,,,,,,177.9388,,,
294,LT05_120035_20050906.tif,2005/9/6,-0.531190872,209.7917,,,201.549,,,187.9453,,,
295,LT05_120035_20050922.tif,2005/9/22,-0.117569173,198.2636,,,192.985,,,191.2075,,193.1111,
296,LT05_120035_20051008.tif,2005/10/8,-0.37722795,205.4207,,,200.1596,,,194.5558,,207.016,
297,LE07_120035_20051016.tif,2005/10/16,-1.155983637,,,,217.1737,,,344.9454,,360.364,
298,LT05_120035_20051024.tif,2005/10/24,0.389964146,201.7759,,,193.4406,,,183.5982,,190.9157,
299,LE07_120035_20051101.tif,2005/11/1,-1.617335127,,,,,,,,,,
300,LE07_120035_20051117.tif,2005/11/17,-1.889083455,,,,,,,,,,
301,LT05_120035_20051125.tif,2005/11/25,0.19615071,199.5845,,,185.4306,,,180.8453,,185.3424,
302,LE07_120035_20051219.tif,2005/12/19,-1.204550504,202.4926,,,208.7009,,,224.8311,,285.773,
303,LE07_120035_20060120.tif,2006/1/20,-0.15132239,,,,,,,,,,
304,LT05_120035_20060301.tif,2006/3/1,-2.218017191,229.272,,,,,,364.5716,,362.3813,
305,LE07_120035_20060309.tif,2006/3/9,-0.150450894,198.0296,,,198.268,,,196.7662,,206.2467,
306,LE07_120035_20060325.tif,2006/3/25,-0.221211926,199.9841,,,194.9209,,,,,,
307,LT05_120035_20060402.tif,2006/4/2,-0.006581816,196.1802,,,186.4813,,,185.8692,,181.383,
308,LE07_120035_20060426.tif,2006/4/26,-1.33533614,,,,,,,343.7941,,,
309,LT05_120035_20060520.tif,2006/5/20,1.185356824,187.7303,,,183.97,,,178.4208,,,
310,LE07_120035_20060528.tif,2006/5/28,-0.738081521,,,,,,,,,318.4805,
311,LE07_120035_20060731.tif,2006/7/31,0.86089637,183.1696,,,190.6846,,,180.7849,,175.275,
312,LT05_120035_20060808.tif,2006/8/8,-0.299553737,188.645,,,198.5881,,,240.8803,,306.8556,
313,LT05_120035_20060909.tif,2006/9/9,-1.257021197,199.5832,,,206.0815,,,276.191,,310.843,
314,LE07_120035_20060917.tif,2006/9/17,0.431651372,187.0913,,,187.25,,,183.0897,,177.3203,
315,LE07_120035_20061003.tif,2006/10/3,0.189582033,198.0296,,,190.8885,,,186.1233,,178.0616,
316,LT05_120035_20061027.tif,2006/10/27,-0.528605992,201.5003,,,194.3745,,,193.6321,,275.3958,
317,LE07_120035_20061104.tif,2006/11/4,-1.397698459,212.1629,,,,,,,,,
318,LT05_120035_20061112.tif,2006/11/12,0.309987427,193.4689,,,191.5957,,,187.369,,179.9287,
319,LT05_120035_20061128.tif,2006/11/28,0.468874757,194.5714,,,192.985,,,181.5222,,174.6706,
320,LT05_120035_20061214.tif,2006/12/14,0.081687687,,,,193.8278,,,182.5062,,200.2419,
321,LE07_120035_20061222.tif,2006/12/22,-1.894187822,,,,221.5467,285.1728,,,,,
322,LE07_120035_20070107.tif,2007/1/7,-1.121327796,,,,,,,,,,
323,LT05_120035_20070131.tif,2007/1/31,-1.807059089,,,,,,,,,417.0439,
324,LE07_120035_20070413.tif,2007/4/13,-0.048328079,,,,189.8636,,,,,,
325,LT05_120035_20070421.tif,2007/4/21,0.209239315,,,,,,,184.4144,,182.3026,
326,LT05_120035_20070507.tif,2007/5/7,0.342785043,192.6544,,,186.9037,,,185.0048,,,
